right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1195.6063,1196.1055,,,1196.356,1197.2891,left,0.9234,,,,,,,,,0.6,,,,,,1196.1056,1196.356,1197.2891,1198.3893,,,,,,,,0,199,199,168,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1198.3895,1198.8889,,,1199.1396,1199.8501,left,0.7026,,,,,,,,,0.6,,,,,,1198.8889,1199.1396,1199.8502,1200.95,,,,,,,,0,200,200,170,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1200.9501,1201.4499,,,1201.7003,1202.1611,left,0.4518,,,,,,,,,0.45,,,,,,1201.4499,1201.7003,1202.1611,1203.261,,,,,,,,0,201,201,74,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1203.2612,1203.761,,,1204.0112,1204.3054,left,0.2864,,,,,,,,,0.45,,,,,,1203.761,1204.0112,1204.3054,1205.4054,,,,,,,,0,202,202,83,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1205.4055,1205.9053,,,1206.1556,1206.4784,left,0.3171,,,,,,,,,0.45,,,,,,1205.9053,1206.1556,1206.4784,1207.5779,,,,,,,,0,203,203,79,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1207.5784,1208.0775,,,1208.3242,1208.6835,left,0.3545,,,,,,,,,0.5,,,,,,1208.0775,1208.3242,1208.6835,1209.7834,,,,,,,,0,204,204,117,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1209.7835,1210.2834,,,1210.5332,1211.2274,left,0.6862,,,,,,,,,0.45,,,,,,1210.2834,1210.5332,1211.2274,1212.3275,,,,,,,,0,205,205,72,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1212.3277,1212.8274,,,1213.0779,1213.4502,left,0.367,,,,,,,,,0.45,,,,,,1212.8274,1213.0779,1213.4502,1214.5501,,,,,,,,0,206,206,70,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1214.5503,1215.0496,,,1215.3,1215.6831,left,0.3751,,,,,,,,,0.55,,,,,,1215.0496,1215.3,1215.6831,1216.7828,,,,,,,,0,207,207,140,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1216.783,1217.283,,,1217.5331,1218.0444,right,0.5049,,,,,,,,,0.6,,,,,,1217.283,1217.5331,1218.0444,1219.144,,,,,,,,0,208,208,177,1
,,,,,,,676c294b3882bfc79db02234,68253102053033c43a34c5d1,2025-05-15_01h33.01.071,cuing_paradigm_dot,2024.1.5,Win32,178.5714286,68242c07d0c0e200c6451fdd,,,,,,,,,,,1219.1443,1219.6443,,,1219.8944,1220.3885,left,0.4886,,,,,,,,,0.45,,,,,,1219.6443,1219.8944,1220.3885,1221.4885,,,,,,,,0,209,209,64,1
