right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,252.8167,253.3183,,,253.5688,253.7527,left,0.169,,,,,,,,,0.5,,,,,,253.3183,253.5687,253.7527,254.8585,0,23,23,116,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,254.859,255.3588,,,255.6094,255.8439,right,0.2169,,,,,,,,,0.6,,,,,,255.3588,255.6094,255.844,256.9465,0,24,24,168,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,256.9469,257.4488,,,257.7003,257.8342,left,0.1177,,,,,,,,,0.45,,,,,,257.4489,257.7002,257.8342,258.9373,0,25,25,77,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,258.9379,259.4395,,,259.6974,259.9406,right,0.2315,,,,,,,,,0.4,,,,,,259.4395,259.6974,259.9407,261.0445,0,26,26,34,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,261.0452,261.5484,,,261.8017,261.9164,right,0.098,,,,,,,,,0.9,,,,,,261.5484,261.8017,261.9165,263.0183,0,27,27,183,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,263.0189,263.52,,,263.7728,263.9044,left,0.118,,,,,,,,,0.45,,,,,,263.52,263.7727,263.9044,264.9922,0,28,28,81,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,264.9926,265.4959,,,265.7461,266.0454,right,0.2845,,,,,,,,,0.45,,,,,,265.4959,265.7461,266.0454,267.1343,0,29,29,82,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,267.1347,267.6355,,,267.8865,268.2037,left,0.3014,,,,,,,,,0.55,,,,,,267.6355,267.8865,268.2038,269.3082,0,30,30,122,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,269.3086,269.8101,,,270.0717,270.2602,right,0.168,,,,,,,,,0.4,,,,,,269.8101,270.0717,270.2603,271.3483,0,31,31,54,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,271.3488,271.8491,,,272.1009,272.267,left,0.1503,,,,,,,,,0.5,,,,,,271.8492,272.1009,272.2672,273.3711,0,32,32,102,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,273.3714,273.873,,,274.1074,274.5098,left,0.3878,,,,,,,,,0.55,,,,,,273.873,274.1074,274.5098,275.6048,0,33,33,148,1,,,,,,,
,,,,,,,67f047016c147b1c30dbd4a4,682530bfa8ef9ff98b07117d,2025-05-14_20h09.54.791,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,275.6052,276.0975,,,276.3482,276.6358,left,0.2744,,,,,,,,,0.55,,,,,,276.0977,276.3481,276.6359,277.736,0,34,34,145,1,,,,,,,
