right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1003.6438,1004.1428,,,1004.3945,1005.0434,left,,,,,,,,0.6,0.6328,,,,,,,1004.1428,1004.3944,1005.0436,1006.1427,,,,,,,,0,71,71,170,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1006.1444,1006.6427,,,1006.8942,1007.3433,right,,,,,,,,0.9,0.4335,,,,,,,1006.6427,1006.8942,1007.3436,1008.4427,,,,,,,,0,72,72,203,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1008.4441,1008.9425,,,1009.1946,1009.86,left,,,,,,,,0.5,0.6506,,,,,,,1008.9426,1009.1945,1009.8605,1010.9593,,,,,,,,0,73,73,101,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1010.961,1011.4594,,,1011.7116,1012.4271,right,,,,,,,,0.9,0.6987,,,,,,,1011.4594,1011.7115,1012.4272,1013.5264,,,,,,,,0,74,74,188,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1013.5279,1014.0277,,,1014.2769,1014.8925,left,,,,,,,,0.55,0.6042,,,,,,,1014.0279,1014.2768,1014.8927,1015.9923,,,,,,,,0,75,75,134,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1015.994,1016.4919,,,1016.7439,1017.5607,left,,,,,,,,0.1,0.807,,,,,,,1016.492,1016.7439,1017.5607,1018.6583,,,,,,,,0,76,76,26,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1018.6601,1019.1582,,,1019.4091,1020.2751,left,,,,,,,,0.1,0.8518,,,,,,,1019.1582,1019.409,1020.2751,1021.3749,,,,,,,,0,77,77,29,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1021.376,1021.8747,,,1022.1257,1022.9422,right,,,,,,,,0.45,0.8016,,,,,,,1021.8749,1022.1257,1022.9423,1024.0415,,,,,,,,0,78,78,85,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1024.0428,1024.5416,,,1024.7926,1025.8085,right,,,,,,,,0.6,1.0065,,,,,,,1024.5417,1024.7925,1025.8086,1026.9081,,,,,,,,0,79,79,160,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1026.9094,1027.4085,,,1027.6599,1028.5917,right,,,,,,,,0.9,0.9189,,,,,,,1027.4086,1027.6598,1028.5919,1029.6916,,,,,,,,0,80,80,194,1
