right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,480.0418,480.5385,,,480.9044,482.2479,right,1.3349,,,,,,,,,0.6,,,,,,480.5385,480.9043,482.2479,483.3469,0,141,141,157,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,483.3472,483.8472,,,484.0973,484.565,right,0.4587,,,,,,,,,0.6,,,,,,483.8472,484.0973,484.5652,485.6649,0,142,142,172,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,485.6655,486.1644,,,486.4153,486.8647,left,0.4409,,,,,,,,,0.45,,,,,,486.1644,486.4153,486.8648,487.9643,0,143,143,63,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,487.9649,488.4646,,,488.7148,489.0827,left,0.3609,,,,,,,,,0.1,,,,,,488.4646,488.7147,489.0828,490.1808,0,144,144,16,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,490.1814,490.681,,,490.9315,491.3642,right,0.4182,,,,,,,,,0.5,,,,,,490.681,490.9314,491.3642,492.4642,0,145,145,114,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,492.4648,492.9642,,,493.215,493.532,left,0.3009,,,,,,,,,0.1,,,,,,492.9643,493.2149,493.5322,494.6299,0,146,146,7,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,494.6303,495.1299,,,495.3801,495.8141,right,0.4271,,,,,,,,,0.45,,,,,,495.1299,495.3801,495.8142,496.9143,0,147,147,84,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,496.9152,497.4142,,,497.6646,498.4308,left,0.7513,,,,,,,,,0.45,,,,,,497.4143,497.6645,498.431,499.5307,0,148,148,81,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,499.5316,500.0306,,,500.2799,500.9144,right,0.6205,,,,,,,,,0.45,,,,,,500.0307,500.2799,500.9144,502.0137,0,149,149,86,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,502.0144,502.514,,,502.7634,503.3808,right,0.6027,,,,,,,,,0.55,,,,,,502.5141,502.7634,503.3809,504.4798,0,150,150,122,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,504.4801,504.9796,,,505.23,505.7136,right,0.4675,,,,,,,,,0.45,,,,,,504.9796,505.23,505.7136,506.8129,0,151,151,73,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,506.8131,507.3132,,,507.5631,508.1314,left,0.5519,,,,,,,,,0.45,,,,,,507.3132,507.563,508.1314,509.2307,0,152,152,66,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,509.2312,509.7317,,,509.9808,510.5465,left,0.5499,,,,,,,,,0.4,,,,,,509.7318,509.9807,510.5465,511.6467,0,153,153,40,1,,,,,,,
