right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1010.1122,1010.6059,,,1010.8408,1011.2923,left,,,,,,,,0.4,,,,,,1010.6061,1010.8405,0.4315,,1011.2926,1012.389,,,,,,,,0,120,120,31,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1012.391,1012.8834,,,1013.136,1014.0789,right,,,,,,,,0.55,,,,,,1012.8837,1013.1355,0.9212,,1014.0792,1015.1869,,,,,,,,0,121,121,140,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1015.189,1015.6951,,,1015.9537,1016.7328,left,,,,,,,,0.5,,,,,,1015.6953,1015.9534,0.7562,,1016.7331,1017.8273,,,,,,,,0,122,122,109,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1017.8293,1018.3247,,,1018.5726,1019.0808,right,,,,,,,,0.9,,,,,,1018.325,1018.5725,0.4858,,1019.0811,1020.1834,,,,,,,,0,123,123,207,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1020.1878,1020.6772,,,1020.9073,1021.4358,right,,,,,,,,0.55,,,,,,1020.6774,1020.9069,0.5053,,1021.4362,1022.5315,,,,,,,,0,124,124,135,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1022.5336,1023.0239,,,1023.2838,1023.8924,left,,,,,,,,0.5,,,,,,1023.0241,1023.2836,0.5886,,1023.8926,1024.9933,,,,,,,,0,125,125,104,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1024.9954,1025.4766,,,1025.7066,1026.197,right,,,,,,,,0.9,,,,,,1025.4767,1025.7064,0.4675,,1026.1971,1027.2869,,,,,,,,0,126,126,201,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1027.2892,1027.7998,,,1028.047,1028.9247,left,,,,,,,,0.4,,,,,,1027.8,1028.0468,0.8562,,1028.9251,1030.0304,,,,,,,,0,127,127,49,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1030.032,1030.5265,,,1030.7733,1031.52,right,,,,,,,,0.55,,,,,,1030.5267,1030.773,0.7268,,1031.5202,1032.6151,,,,,,,,0,128,128,128,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1032.6204,1033.1268,,,1033.3684,1034.0165,left,,,,,,,,0.1,,,,,,1033.1269,1033.3681,0.6259,,1034.0167,1035.1114,,,,,,,,0,129,129,29,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1035.1132,1035.6091,,,1035.8645,1036.3718,right,,,,,,,,0.6,,,,,,1035.6093,1035.8641,0.4847,,1036.3721,1037.4529,,,,,,,,0,130,130,171,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1037.4554,1037.9591,,,1038.2046,1038.8102,right,,,,,,,,0.6,,,,,,1037.9593,1038.2044,0.5862,,1038.8105,1039.9131,,,,,,,,0,131,131,176,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1039.916,1040.4246,,,1040.6666,1041.7224,right,,,,,,,,0.6,,,,,,1040.4248,1040.6664,1.0305,,1041.7243,1042.8148,,,,,,,,0,132,132,164,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1042.8166,1043.3183,,,1043.5563,1044.3751,left,,,,,,,,0.4,,,,,,1043.3184,1043.5561,0.8001,,1044.3753,1045.4591,,,,,,,,0,133,133,38,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1045.4616,1045.9571,,,1046.1883,1046.9023,left,,,,,,,,0.4,,,,,,1045.9574,1046.188,0.6912,,1046.9026,1048.0132,,,,,,,,0,134,134,50,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1048.0155,1048.5029,,,1048.7544,1049.5172,right,,,,,,,,0.6,,,,,,1048.5031,1048.7542,0.7396,,1049.5182,1050.6176,,,,,,,,0,135,135,150,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1050.6203,1051.1286,,,1051.373,1051.8547,right,,,,,,,,0.9,,,,,,1051.1294,1051.3729,0.4577,,1051.855,1052.9535,,,,,,,,0,136,136,185,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1052.9564,1053.4624,,,1053.7193,1054.1603,right,,,,,,,,0.55,,,,,,1053.4625,1053.719,0.4161,,1054.1605,1055.2503,,,,,,,,0,137,137,122,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1055.2526,1055.7593,,,1055.9905,1056.7712,left,,,,,,,,0.6,,,,,,1055.7596,1055.9902,0.7591,,1056.7714,1057.8717,,,,,,,,0,138,138,153,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1057.8744,1058.3866,,,1058.6259,1059.3696,left,,,,,,,,0.45,,,,,,1058.3867,1058.6257,0.7229,,1059.3699,1060.4614,,,,,,,,0,139,139,72,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1060.4631,1060.9609,,,1061.1941,1061.9238,left,,,,,,,,0.4,,,,,,1060.961,1061.1935,0.7079,,1061.924,1063.0223,,,,,,,,0,140,140,39,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1063.027,1063.5229,,,1063.7692,1064.2915,left,,,,,,,,0.1,,,,,,1063.5234,1063.7691,0.5026,,1064.2917,1065.3902,,,,,,,,0,141,141,3,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1065.3921,1065.896,,,1066.1394,1066.757,left,,,,,,,,0.55,,,,,,1065.8961,1066.1392,0.5998,,1066.7572,1067.8565,,,,,,,,0,142,142,137,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1067.858,1068.3585,,,1068.6071,1069.4645,left,,,,,,,,0.45,,,,,,1068.3587,1068.6069,0.8387,,1069.4648,1070.5563,,,,,,,,0,143,143,82,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1070.5579,1071.0474,,,1071.3156,1072.0438,right,,,,,,,,0.55,,,,,,1071.0475,1071.3154,0.71,,1072.0442,1073.1385,,,,,,,,0,144,144,138,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1073.1407,1073.6417,,,1073.9037,1074.6628,left,,,,,,,,0.4,,,,,,1073.6417,1073.9036,0.7393,,1074.663,1075.7578,,,,,,,,0,145,145,30,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1075.7596,1076.263,,,1076.5152,1077.1641,left,,,,,,,,0.5,,,,,,1076.2631,1076.5151,0.6306,,1077.1643,1078.2688,,,,,,,,0,146,146,114,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1078.2712,1078.7689,,,1079.0109,1079.6808,right,,,,,,,,0.6,,,,,,1078.7691,1079.0107,0.65,,1079.6809,1080.7783,,,,,,,,0,147,147,161,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1080.78,1081.272,,,1081.5144,1082.6918,right,,,,,,,,0.55,,,,,,1081.2722,1081.5143,1.1549,,1082.692,1083.7986,,,,,,,,0,148,148,130,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1083.8016,1084.2937,,,1084.5531,1085.1508,right,,,,,,,,0.9,,,,,,1084.2941,1084.5518,0.5716,,1085.151,1086.2553,,,,,,,,0,149,149,186,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1086.2573,1086.7719,,,1087.0237,1087.9376,left,,,,,,,,0.55,,,,,,1086.7721,1087.0236,0.8924,,1087.9379,1089.0298,,,,,,,,0,150,150,132,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1089.0325,1089.5154,,,1089.7551,1090.5573,left,,,,,,,,0.1,,,,,,1089.5158,1089.7549,0.7765,,1090.5575,1091.6516,,,,,,,,0,151,151,19,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1091.6535,1092.1668,,,1092.4225,1093.3356,left,,,,,,,,0.5,,,,,,1092.1669,1092.4223,0.8889,,1093.3359,1094.4433,,,,,,,,0,152,152,97,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1094.4452,1094.9375,,,1095.182,1096.0301,right,,,,,,,,0.55,,,,,,1094.9376,1095.1816,0.8319,,1096.0306,1097.1334,,,,,,,,0,153,153,142,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1097.1355,1097.6347,,,1097.8997,1098.5744,left,,,,,,,,0.1,,,,,,1097.6348,1097.8993,0.649,,1098.5745,1099.6703,,,,,,,,0,154,154,25,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1099.672,1100.1636,,,1100.4102,1101.0446,left,,,,,,,,0.45,,,,,,1100.1641,1100.41,0.6161,,1101.0447,1102.1448,,,,,,,,0,155,155,70,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1102.1471,1102.6275,,,1102.8687,1103.3491,right,,,,,,,,0.9,,,,,,1102.6277,1102.8681,0.4561,,1103.3493,1104.4498,,,,,,,,0,156,156,180,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1104.4533,1104.9351,,,1105.1549,1105.7433,right,,,,,,,,0.55,,,,,,1104.9352,1105.1547,0.5575,,1105.7436,1106.8331,,,,,,,,0,157,157,147,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1106.8355,1107.3397,,,1107.59,1108.0455,right,,,,,,,,0.9,,,,,,1107.3398,1107.5896,0.431,,1108.0457,1109.1465,,,,,,,,0,158,158,208,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1109.1488,1109.6262,,,1109.8705,1110.9121,right,,,,,,,,0.5,,,,,,1109.6264,1109.8702,1.0223,,1110.9122,1111.9999,,,,,,,,0,159,159,110,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1112.003,1112.5056,,,1112.7564,1113.8152,left,,,,,,,,0.5,,,,,,1112.5058,1112.7559,1.0327,,1113.8156,1114.908,,,,,,,,0,160,160,102,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1114.9107,1115.4149,,,1115.6486,1116.9859,left,,,,,,,,0.5,,,,,,1115.4151,1115.6484,1.3122,,1116.9862,1118.0958,,,,,,,,0,161,161,95,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1118.0977,1118.5971,,,1118.8449,1119.569,left,,,,,,,,0.1,,,,,,1118.5973,1118.8447,0.7023,,1119.5692,1120.6549,,,,,,,,0,162,162,2,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1120.6573,1121.1456,,,1121.4086,1122.0542,left,,,,,,,,0.45,,,,,,1121.1457,1121.4085,0.6234,,1122.0544,1123.1547,,,,,,,,0,163,163,61,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1123.1576,1123.6573,,,1123.8981,1124.5537,left,,,,,,,,0.45,,,,,,1123.6575,1123.8978,0.6316,,1124.5543,1125.6547,,,,,,,,0,164,164,88,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1125.66,1126.1504,,,1126.3942,1126.9999,left,,,,,,,,0.1,,,,,,1126.1506,1126.3939,0.5821,,1127.0002,1128.089,,,,,,,,0,165,165,28,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1128.0919,1128.5867,,,1128.854,1129.5271,left,,,,,,,,0.45,,,,,,1128.5869,1128.8538,0.6562,,1129.5273,1130.6309,,,,,,,,0,166,166,75,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1130.6331,1131.1331,,,1131.372,1132.4889,right,,,,,,,,0.4,,,,,,1131.1333,1131.3718,1.0964,,1132.4892,1133.5702,,,,,,,,0,167,167,44,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1133.5733,1134.0703,,,1134.3279,1134.9526,right,,,,,,,,0.55,,,,,,1134.0705,1134.3278,0.5963,,1134.9529,1136.0424,,,,,,,,0,168,168,125,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1136.0442,1136.5368,,,1136.7753,1137.4956,left,,,,,,,,0.4,,,,,,1136.5371,1136.7751,0.6985,,1137.4958,1138.5985,,,,,,,,0,169,169,32,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1138.6009,1139.1016,,,1139.353,1139.9965,right,,,,,,,,0.9,,,,,,1139.1018,1139.3528,0.6222,,1139.9967,1141.1028,,,,,,,,0,170,170,184,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1141.1053,1141.6055,,,1141.8437,1142.4954,left,,,,,,,,0.1,,,,,,1141.6057,1141.8432,0.6289,,1142.4957,1143.5953,,,,,,,,0,171,171,11,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1143.5974,1144.0988,,,1144.3446,1145.464,right,,,,,,,,0.45,,,,,,1144.099,1144.3445,1.0991,,1145.4642,1146.5614,,,,,,,,0,172,172,67,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1146.5636,1147.0588,,,1147.3013,1147.9356,left,,,,,,,,0.1,,,,,,1147.0589,1147.3012,0.6178,,1147.9357,1149.0392,,,,,,,,0,173,173,27,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1149.0417,1149.5355,,,1149.7954,1150.3146,left,,,,,,,,0.1,,,,,,1149.5355,1149.7944,0.4983,,1150.3151,1151.4076,,,,,,,,0,174,174,22,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1151.4098,1151.9134,,,1152.158,1153.0839,right,,,,,,,,0.6,,,,,,1151.9136,1152.1576,0.9064,,1153.0841,1154.1713,,,,,,,,0,175,175,156,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1154.1736,1154.6657,,,1154.8745,1155.6857,right,,,,,,,,0.4,,,,,,1154.6664,1154.8742,0.7804,,1155.6862,1156.7929,,,,,,,,0,176,176,59,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1156.7956,1157.2892,,,1157.5399,1158.1828,left,,,,,,,,0.1,,,,,,1157.2894,1157.5396,0.6229,,1158.1831,1159.2888,,,,,,,,0,177,177,6,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1159.292,1159.7713,,,1160.0309,1160.5547,left,,,,,,,,0.4,,,,,,1159.7714,1160.0307,0.5035,,1160.555,1161.64,,,,,,,,0,178,178,41,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1161.6428,1162.1427,,,1162.3869,1162.89,right,,,,,,,,0.9,,,,,,1162.1429,1162.3867,0.48,,1162.8903,1163.9787,,,,,,,,0,179,179,183,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1163.9811,1164.4756,,,1164.7399,1165.3481,left,,,,,,,,0.4,,,,,,1164.4758,1164.7396,0.5891,,1165.3482,1166.453,,,,,,,,0,180,180,48,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1166.4564,1166.9674,,,1167.2197,1167.8207,left,,,,,,,,0.1,,,,,,1166.9675,1167.2192,0.5806,,1167.8208,1168.9188,,,,,,,,0,181,181,16,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1168.9214,1169.4212,,,1169.6634,1170.2909,left,,,,,,,,0.4,,,,,,1169.4214,1169.6632,0.6044,,1170.2914,1171.3942,,,,,,,,0,182,182,58,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1171.3965,1171.8863,,,1172.1248,1172.849,left,,,,,,,,0.45,,,,,,1171.8865,1172.1247,0.7015,,1172.8493,1173.9547,,,,,,,,0,183,183,85,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1173.9588,1174.4478,,,1174.6861,1175.4583,right,,,,,,,,0.5,,,,,,1174.448,1174.686,0.7511,,1175.459,1176.5548,,,,,,,,0,184,184,98,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1176.5566,1177.0558,,,1177.318,1177.9251,left,,,,,,,,0.1,,,,,,1177.0561,1177.3176,0.5858,,1177.9252,1179.0186,,,,,,,,0,185,185,20,1
