right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,897.0146,897.5044,,,897.7572,898.5042,left,,,,,,,,0.45,,,,,,897.5045,897.7569,0.7256,,898.5045,899.6082,,,,,,,,0,75,75,87,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,899.6101,900.1067,,,900.3517,900.9556,right,,,,,,,,0.6,,,,,,900.107,900.3515,0.5784,,900.9559,902.0529,,,,,,,,0,76,76,160,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,902.0599,902.5481,,,902.7976,903.6015,right,,,,,,,,0.9,,,,,,902.5484,902.7971,0.7606,,903.6017,904.7041,,,,,,,,0,77,77,195,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,904.7068,905.2029,,,905.4611,905.9848,right,,,,,,,,0.55,,,,,,905.2031,905.4609,0.5021,,905.985,907.0911,,,,,,,,0,78,78,126,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,907.0928,907.5903,,,907.8587,908.5671,left,,,,,,,,0.1,,,,,,907.5904,907.8585,0.6881,,908.5673,909.6597,,,,,,,,0,79,79,26,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,909.6621,910.1598,,,910.3942,911.0377,left,,,,,,,,0.1,,,,,,910.16,910.3938,0.6225,,911.0381,912.1387,,,,,,,,0,80,80,9,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,912.1406,912.6393,,,912.875,913.4023,right,,,,,,,,0.9,,,,,,912.6396,912.8749,0.5061,,913.4025,914.4848,,,,,,,,0,81,81,204,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,914.4864,914.9886,,,915.2472,915.8321,right,,,,,,,,0.9,,,,,,914.9888,915.247,0.5612,,915.8323,916.9307,,,,,,,,0,82,82,193,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,916.9326,917.4198,,,917.6616,918.3185,left,,,,,,,,0.1,,,,,,917.42,917.6612,0.6363,,918.3188,919.4221,,,,,,,,0,83,83,17,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,919.4245,919.9267,,,920.1812,921.1279,right,,,,,,,,0.6,,,,,,919.9269,920.181,0.923,,921.1282,922.2181,,,,,,,,0,84,84,152,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,922.2213,922.699,,,922.9433,923.7702,left,,,,,,,,0.1,,,,,,922.6997,922.9431,0.8058,,923.7705,924.851,,,,,,,,0,85,85,13,1
