right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,189.965,190.464,,,190.67,191.214,right,,,,,,,,0.5,0.537,,,,,,,190.464,190.669,191.214,192.314,0,9,9,97,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,192.315,192.814,,,193.064,193.898,left,,,,,,,,0.5,0.821,,,,,,,192.814,193.064,193.898,194.998,0,10,10,114,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,195.005,195.496,,,195.748,196.296,right,,,,,,,,0.45,0.534,,,,,,,195.497,195.748,196.296,197.397,0,11,11,75,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,197.397,197.896,,,198.146,198.363,right,,,,,,,,0.1,0.201,,,,,,,197.896,198.146,198.363,199.463,0,12,12,12,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,199.464,199.963,,,200.166,200.512,left,,,,,,,,0.6,0.337,,,,,,,199.963,200.166,200.513,201.613,0,13,13,156,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,201.614,202.113,,,202.363,202.613,left,,,,,,,,0.5,0.233,,,,,,,202.113,202.363,202.613,203.712,0,14,14,110,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,203.714,204.213,,,204.463,204.745,left,,,,,,,,0.5,0.265,,,,,,,204.213,204.463,204.745,205.845,0,15,15,91,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,205.846,206.345,,,206.598,206.829,right,,,,,,,,0.5,0.222,,,,,,,206.345,206.598,206.829,207.928,0,16,16,104,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,207.93,208.428,,,208.679,208.895,left,,,,,,,,0.6,0.201,,,,,,,208.429,208.678,208.895,209.995,0,17,17,173,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,209.996,210.495,,,210.745,211.128,right,,,,,,,,0.9,0.367,,,,,,,210.495,210.745,211.129,212.228,0,18,18,187,1,,,,,,,
